filename,speech,speechJ,Avgf0,Avgf1,Avgf2,Avgf3,Avgf4,Avgf5,Avgf6,Avgf7,Avgf8,Avgf9,Avgf10,Avgf11,Avgf12,pitch1,pitch2,jitt1,jitt2,jitt3,jitt4,jitt5,shim1,shim2,shim3,shim4,shim5,shim6
0_ch01.wav,0,0,6.47260492166,5.70206849518,5.7369543662,5.72990638243,6.05864006936,6.50812728744,6.66554624871,6.79385378196,7.29834517576,7.87846283559,8.43633986374,9.36053530001,9.97465629057,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch02.wav,0,0,6.48635040725,5.58688196076,5.73580715896,5.79628307662,6.10295771061,6.78053165854,6.74062809968,6.92875247311,7.4783859629,8.01815955351,8.90526127993,9.58691446077,10.2013947679,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch03.wav,0,0,6.48175461573,5.43278655268,5.66755580076,5.6847965189,6.32134064054,6.97254157915,6.81824217069,7.11417715804,7.5854785482,8.26639544164,8.73914239036,9.35411450516,10.1322246231,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch04.wav,0,0,6.50322639817,5.67179647495,5.74775137763,5.49414382428,6.20514256233,6.68303824045,6.42891837159,6.87020160423,7.28471809425,7.87360160172,8.53478624167,9.39352438966,10.0413389842,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch05.wav,0,0,6.78547671841,5.80170735171,5.97552919431,5.93172013392,6.48786570428,7.06921266339,7.11209767441,7.38735897482,7.83190562366,8.11950491826,9.17561255147,9.94887591981,10.447880349,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch06.wav,0,0,6.152475172,5.36176635688,5.4265572298,5.42779593883,6.10831527308,6.80933874074,6.72591422535,7.0259991786,7.42822121988,8.02204847703,8.77301494552,9.54947414288,10.1502096466,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch07.wav,0,0,6.50347683769,5.5509671801,5.61660672611,5.52034562214,5.99425915802,6.7690155247,6.61183383826,7.06005593829,7.55205463806,7.95647211745,8.64508112088,9.33315239805,9.98709956458,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch08.wav,0,0,6.3557513735,5.51379514126,5.54395338391,5.5233110231,6.03813691777,6.85887060738,6.66276976318,6.96873611347,7.49834901508,7.932140628,8.45858321399,9.20788707179,9.93103822895,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch09.wav,0,0,6.87601449156,6.09712780531,6.1789364139,6.04980676927,6.67016947156,7.26702637752,7.15991993392,7.42035845393,7.88348981992,8.19546541416,9.09128737885,9.97335325298,10.5608145518,0,0,0,0,0,0,0,0,0,0,0,0,0
0_ch10.wav,0,0,5.9215531032,5.08784279794,5.18566731778,5.09491422485,5.84839137356,6.45007144591,6.48790322881,6.7310540261,7.02711444619,7.59809403015,8.30406664634,9.18029706421,9.76221364572,0,0,0,0,0,0,0,0,0,0,0,0,0
0_dch01.wav,0,0,4.52267402625,4.06991515031,3.29503601576,2.97634348336,3.08533030517,3.00160724053,3.25894712803,3.48987415705,3.14501120298,2.93185114442,2.86361248442,3.15066785759,3.35171894527,142.708,4.769,0.09722,0.000677298,6.08,0.05063,0.18239000000000002,0.5959599999999999,3.577,0,0,0,0
0_dch02.wav,0,0,4.34961128075,4.31756210443,3.55575108447,3.10761298464,3.02517330301,3.19162410406,3.20355756556,3.19482171659,2.95595551138,3.28719174673,3.20418943833,3.54716606416,3.71524910139,156.432,16.565,0.09634000000000001,0.000614855,6.136,0.04694,0.18408000000000002,0.26569,1.788,0.047420000000000004,0,0,0.14226000000000003
0_dch03.wav,0,0,4.40403514255,4.21716484986,3.65922776524,3.12056206208,2.99848920586,3.34529013415,3.14453051736,3.03419310134,2.7943199569,3.67889355233,3.72304086741,3.59598176979,3.70581758191,153.04,13.492,0.06758,0.000441909,4.36,0.03618,0.13081,0.25821,2.841,0,0,0,0
0_dch04.wav,0,0,4.33638258071,3.97707932844,3.42189441727,2.93842906727,2.72640004135,3.15096593668,4.00934179871,4.26512945255,3.55333623752,3.75686993152,3.85244979123,3.62102257293,3.40208092178,146.025,5.26,0.06807,0.000462873,4.471,0.08263,0.13412000000000002,0.08775000000000001,0.737,0,0,0,0
0_dch05.wav,0,0,4.8155878935,4.50412295732,3.89398839906,3.53510837198,3.73044914277,3.51969911134,3.68560318191,3.64802682549,3.94274317927,4.40710323333,3.96914985832,3.58070025561,3.41993100867,146.131,4.145,0.0674,0.000453386,4.175,0.02921,0.12525,0.41277,2.291,0,0,0,0
0_dch06.wav,0,0,4.24157657672,4.06093120931,3.47387241556,3.03009621643,3.07958317881,3.1924198991,2.80136570949,2.65635927669,3.80630686831,4.38853860545,3.81438511202,3.95156580303,3.65611725567,0,0,0,0,0,0,0,0,0,0,0,0,0
0_dch07.wav,0,0,4.1350821164,4.02667708629,3.60723322305,2.97028300394,2.8842291885,3.09262709008,3.19337395299,3.42296248867,3.81548031114,3.97456185179,3.85489938001,3.97423685106,3.67197806942,146.586,7.633,0.05604,0.000443848,3.161,0,0.09484000000000001,0,0,0,0,0,0
0_dch08.wav,0,0,4.09294834776,3.98991976281,3.65449326009,3.02099283775,2.92963317805,3.18008230713,4.07016520866,4.41738462999,3.86051509933,3.62151763649,3.71825952507,3.80312563119,3.50482183683,148.311,1.366,0.007750000000000001,5.2842e-05,0,0,0,0,0,0,0,0,0
0_dch09.wav,0,0,4.644010581,4.41152200632,3.8501643109,3.4610123918,3.94522968563,3.43798653412,3.6073765434,3.6284879337,3.98068696978,4.34070627072,4.05935775755,3.74926431224,3.76062166813,147.964,2.495,0.09418,0.000639784,6.183000000000001,0,0.18549,0.46832,3.573,0,0,0,0
0_dch10.wav,0,0,3.77801149874,3.79690733579,3.23791538993,2.74606918292,2.92594080062,2.76114665817,2.91282134436,3.07138509097,3.91191199111,4.39493516381,3.70730880078,3.56359764616,3.35292442164,144.717,5.712,0.06141,0.000430107,3.6019999999999994,0.03374,0.10805,0.16259,1.883,0,0,0,0
0_hch01.wav,0,0,4.71011894823,3.02085588295,2.82215942068,2.67233550275,2.9716915152,3.25092239547,3.35516984393,3.52665377946,3.46013022415,3.27636521027,3.51703288959,3.54639815615,3.83352591921,0,0,0,0,0,0,0,0,0,0,0,0,0
0_hch02.wav,0,0,4.94607581742,3.1689195649,3.03834767434,2.78744707818,3.17803030191,3.58672630258,3.56245080003,3.64974231322,3.49309826174,3.43132085587,3.46461734252,3.65906587841,3.87995835211,0,0,0,0,0,0,0,0,0,0,0,0,0
0_hch03.wav,0,0,5.01023375599,3.39410678501,3.14841357813,2.84976682104,3.21888224093,3.71823264815,3.60457041169,3.75324476104,3.62960249814,3.61842559406,3.63175230904,3.70773607342,3.86373679835,0,0,0,0,0,0,0,0,0,0,0,0,0
0_hch04.wav,0,0,4.74522504085,3.2310109714,2.89974721739,2.70014276507,3.02804013923,3.39058111944,3.22148839582,3.4772370548,3.41031671426,3.23637941971,3.52373004078,3.72033367944,3.88357062201,0,0,0,0,0,0,0,0,0,0,0,0,0
0_hch05.wav,0,0,5.13479478278,3.32044242222,3.17219488282,2.89785712711,3.43305305212,3.70443685066,3.8649221191,3.92594950509,3.87764987155,3.71772213276,3.61251734053,3.89736912163,4.15773639214,0,0,0,0,0,0,0,0,0,0,0,0,0
