file; total_energy;total_F;total_SFM; speech;
file DKITCHEN-0-ch01.wav ;5.305.646.065.813.210;8387.5;-0.1785386407420931; no; 
file DKITCHEN-0-ch02.wav ;539.702.283.306.672;6.670.900.000.000.000;-0.18857644065663862; no; 
file DKITCHEN-0-ch03.wav ;5.383.702.611.507.440;8162;-0.14509845852303485; no; 
file DKITCHEN-0-ch04.wav ;531.768.520.626.067;7.111.400.000.000.000;-0.13141414796652368; no; 
file DKITCHEN-0-ch05.wav ;54.624.918.239.038.000;5.510.900.000.000.000;-0.15163729679808793; no; 
file DKITCHEN-0-ch06.wav ;5.275.550.844.774.010;345;-0.01957478481065036; no; 
file DKITCHEN-0-ch07.wav ;5.365.216.828.707.610;6.570.900.000.000.000;-0.22572143403414613; no; 
file DKITCHEN-0-ch08.wav ;5.343.099.089.976.340;6946.6;-0.21985126005536815; no; 
file DKITCHEN-0-ch09.wav ;5.488.767.087.596.100;6966.5;-0.19469248416379917; no; 
file DKITCHEN-0-ch10.wav ;5.260.193.987.869.930;6.939.900.000.000.000;-0.3332806904136979; no; 
file DKITCHEN-0-ch11.wav ;5.295.714.829.269.580;7.654.400.000.000.000;-0.24192527130397998; no; 
file DKITCHEN-0-ch12.wav ;5.252.278.635.262.910;6875.8;-0.1568765010817966; no; 
file DKITCHEN-0-ch13.wav ;5.320.570.615.149.030;49.290.000.000.000.000;-0.12689655058092333; no; 
file DKITCHEN-0-ch14.wav ;5.344.135.853.496.410;7.336.400.000.000.000;-0.20454076648868147; no; 
file DKITCHEN-0-ch15.wav ;5.350.764.335.508.750;6.807.200.000.000.000;-0.23279479848116066; no; 
file DKITCHEN-0-ch16.wav ;5.268.700.105.123.410;8779.2;-0.128582828282125; no; 
file DKITCHEN-1-ch01.wav ;5.121.305.624.847.860;50.001.041.666.666.600;0.1190351505438206; no; 
file DKITCHEN-1-ch02.wav ;52.142.993.375.621.700;30.230.629.791.666.600;0.11654535573659026; no; 
file DKITCHEN-1-ch03.wav ;5.203.504.717.028.290;3.030.063.125;0.13690496289834617; no; 
file DKITCHEN-1-ch04.wav ;5.135.131.406.224.130;30.210.629.374.999.900;0.15902437310813813; no; 
file DKITCHEN-1-ch05.wav ;5.288.961.701.405.860;4.759.099.145.833.330;0.12975192706004748; no; 
file DKITCHEN-1-ch06.wav ;5.116.830.915.462.680;50.001.041.666.666.600;0.20263111133992695; no; 
file DKITCHEN-1-ch07.wav ;5.177.074.013.858.190;930.979.395;0.0947942354784629; no; 
file DKITCHEN-1-ch08.wav ;5.168.064.249.320.730;30.210.629.374.999.900;0.09704156627445451; no; 
file DKITCHEN-1-ch09.wav ;5.314.915.647.336.090;3.030.063.125;0.09928810015686947; no; 
file DKITCHEN-1-ch10.wav ;50.751.298.727.026.600;50.001.041.666.666.600;0.04053925568502191; no; 
file DKITCHEN-1-ch11.wav ;5.106.320.416.120.600;50.001.041.666.666.600;0.08214577904533558; no; 
file DKITCHEN-1-ch12.wav ;50.690.028.294.538.500;919.189.149.375;0.13822777296558736; no; 
file DKITCHEN-1-ch13.wav ;5.154.691.013.348.770;34.470.718.124.999.900;0.15345133692439913; no; 
file DKITCHEN-1-ch14.wav ;5.177.969.569.805.200;3.059.063.729.166.660;0.10715348185142069; no; 
file DKITCHEN-1-ch15.wav ;5.160.345.511.951.850;3.223.067.145.833.330;0.08856359258733393; no; 
file DKITCHEN-1-ch16.wav ;5.090.759.808.097.600;3.223.067.145.833.330;0.15030892067221338; no; 
file DKITCHEN-10-ch01.wav ;4.935.398.328.674.770;34.447.175;0.07086500999983399; no; 
file DKITCHEN-10-ch02.wav ;5.020.779.877.853.890;34.517.189.583.333.300;0.07869564422834942; no; 
file DKITCHEN-10-ch03.wav ;5.034.534.963.700.350;343.871.625;0.10750939760254233; no; 
file DKITCHEN-10-ch04.wav ;49.644.350.571.852.500;34.407.166.666.666.600;0.11895265191071708; no; 
file DKITCHEN-10-ch05.wav ;5.115.812.719.905.940;3.437.716.041.666.660;0.09738831528773077; no; 
file DKITCHEN-10-ch06.wav ;4.985.150.272.359.810;3.422.712.916.666.660;0.20604207969870728; no; 
file DKITCHEN-10-ch07.wav ;49.844.156.263.552.700;3.437.716.041.666.660;0.03872899844624426; no; 
file DKITCHEN-10-ch08.wav ;5.007.800.971.892.440;3.240.675;0.04501510125231574; no; 
file DKITCHEN-10-ch09.wav ;51.433.185.953.035.900;3.286.684.583.333.330;0.05466447488343349; no; 
file DKITCHEN-10-ch10.wav ;4.886.079.939.387.180;33.617.002.083.333.300;-0.043312860359740316; no; 
file DKITCHEN-10-ch11.wav ;4.917.183.825.372.140;34.147.112.500.000.000;0.03661148815486523; no; 
file DKITCHEN-10-ch12.wav ;48.911.736.198.155.300;33.707.020.833.333.300;0.10688123383767377; no; 
file DKITCHEN-10-ch13.wav ;50.029.487.930.795.400;3.422.712.916.666.660;0.11627272895666443; no; 
file DKITCHEN-10-ch14.wav ;5.022.756.212.070.050;33.887.058.333.333.300;0.06403599655789985; no; 
file DKITCHEN-10-ch15.wav ;4.955.963.918.207.890;3.437.716.041.666.660;0.03723608408530987; no; 
file DKITCHEN-10-ch16.wav ;4.921.662.404.362.680;33.837.047.916.666.600;0.12785427415846962; no; 
file DKITCHEN-11-ch01.wav ;485.028.799.794.614;34.347.869.583.333.300;-0.003201660138702337; no; 
file DKITCHEN-11-ch02.wav ;4.937.084.450.944.940;34.347.869.583.333.300;0.0005181222267729405; no; 
file DKITCHEN-11-ch03.wav ;4.943.413.812.249.920;39.449.038.333.333.300;0.02887524612794563; no; 
file DKITCHEN-11-ch04.wav ;4.880.052.134.633.810;50.011.458.333.333.300;0.03919865875165092; no; 
file DKITCHEN-11-ch05.wav ;5.031.769.084.031.280;34.347.869.583.333.300;0.000604223792620865; no; 
file DKITCHEN-11-ch06.wav ;4.890.298.392.369.980;34.347.869.583.333.300;0.1365502213204926; no; 
file DKITCHEN-11-ch07.wav ;4.903.756.775.790.750;34.227.842.083.333.300;-0.04058383425972118; no; 
file DKITCHEN-11-ch08.wav ;4.922.188.554.061.490;34.017.793.958.333.300;-0.0350860054397534; no; 
file DKITCHEN-11-ch09.wav ;5.059.430.208.160.160;34.347.869.583.333.300;-0.02628325989295363; no; 
file DKITCHEN-11-ch10.wav ;48.052.025.858.359.400;34.297.858.125;-0.12808693152194317; no; 
file DKITCHEN-11-ch11.wav ;4.832.951.205.863.350;34.347.869.583.333.300;-0.03814825895709363; no; 
file DKITCHEN-11-ch12.wav ;4.809.315.486.740.650;33.947.777.916.666.600;0.03404963847956209; no; 
file DKITCHEN-11-ch13.wav ;4.913.423.936.016.170;34.227.842.083.333.300;0.03627237173293563; no; 
file DKITCHEN-11-ch14.wav ;4.940.045.086.607.890;34.347.869.583.333.300;-0.015321041827372832; no; 
