audio;answer;do
0_listens1-audio-24-05-2014-15_40_24.wav;1;1
0_listens1-audio-24-05-2014-15_45_25.wav;1;1
0_listens1-audio-24-05-2014-15_55_26.wav;1;1
0_listens1-audio-24-05-2014-16_00_26.wav;1;1
0_listens1-audio-24-05-2014-16_05_27.wav;1;1
0_listens1-audio-24-05-2014-16_15_28.wav;1;1
0_listens1-audio-24-05-2014-16_30_29.wav;1;1
0_listens1-audio-24-05-2014-16_35_29.wav;1;1
0_listens1-audio-24-05-2014-16_40_30.wav;1;1
0_listens1-audio-24-05-2014-16_45_30.wav;1;1
0_listens1-audio-24-05-2014-17_17_15.wav;0;1
0_listens1-audio-24-05-2014-17_45_09.wav;1;1
0_listens1-audio-24-05-2014-17_50_10.wav;1;1
0_listens1-audio-24-05-2014-18_10_12.wav;0;1
0_listens3-audio-01-06-2014-03_39_11.wav;0;1
0_listens3-audio-01-06-2014-03_44_11.wav;0;1
0_listens3-audio-01-06-2014-03_49_11.wav;0;1
0_listens3-audio-01-06-2014-03_54_12.wav;0;1
0_listens3-audio-01-06-2014-03_59_12.wav;0;1
0_listens3-audio-01-06-2014-04_14_14.wav;0;1
0_listens3-audio-01-06-2014-04_19_14.wav;0;1
0_listens3-audio-01-06-2014-12_13_35.wav;0;1
0_listens3-audio-01-06-2014-12_18_35.wav;0;1
0_listens3-audio-01-06-2014-12_23_37.wav;1;1
0_listens3-audio-01-06-2014-12_33_38.wav;0;1
0_listens3-audio-01-06-2014-12_48_39.wav;0;1
0_listens3-audio-01-06-2014-12_53_39.wav;0;1
0_listens3-audio-01-06-2014-13_03_40.wav;0;1
0_listens3-audio-24-05-2014-13_53_48.wav;1;1
0_listens3-audio-24-05-2014-13_58_51.wav;1;1
0_listens3-audio-24-05-2014-14_14_12.wav;0;1
0_listens3-audio-24-05-2014-14_15_12.wav;0;1
0_listens3-audio-24-05-2014-14_20_12.wav;0;1
0_listens3-audio-24-05-2014-14_23_33.wav;0;1
0_listens3-audio-24-05-2014-14_28_33.wav;0;1
0_listens3-audio-24-05-2014-14_38_35.wav;0;1
0_listens3-audio-24-05-2014-14_43_35.wav;0;1
0_listens3-audio-24-05-2014-14_48_36.wav;0;1
0_listens3-audio-26-05-2014-09_23_05.wav;0;1
0_listens3-audio-26-05-2014-09_28_05.wav;0;1
0_listens3-audio-26-05-2014-09_38_06.wav;0;1
0_listens3-audio-26-05-2014-09_43_07.wav;0;1
0_listens3-audio-26-05-2014-09_48_07.wav;1;1
0_listens3-audio-26-05-2014-09_58_09.wav;1;1
0_listens3-audio-26-05-2014-10_08_10.wav;1;1
0_listens3-audio-26-05-2014-10_13_10.wav;1;1
0_listens3-audio-26-05-2014-10_18_11.wav;1;1
0_listens3-audio-26-05-2014-12_25_58.wav;0;1
0_listens3-audio-26-05-2014-12_30_58.wav;0;1
0_listens3-audio-26-05-2014-13_16_03.wav;0;1
0_listens3-audio-26-05-2014-18_28_47.wav;1;1
0_listens3-audio-26-05-2014-18_47_59.wav;0;1
0_listens3-audio-26-05-2014-19_03_01.wav;0;1
0_listens3-audio-26-05-2014-19_08_01.wav;1;1
0_listens3-audio-26-05-2014-19_13_02.wav;0;1
0_listens3-audio-26-05-2014-19_18_03.wav;1;1
0_listens3-audio-27-05-2014-02_28_33.wav;0;1
0_listens3-audio-27-05-2014-02_38_35.wav;0;1
0_listens3-audio-27-05-2014-02_48_36.wav;0;1
0_listens3-audio-27-05-2014-03_03_39.wav;0;1
0_listens3-audio-27-05-2014-10_12_35.wav;0;1
0_listens3-audio-27-05-2014-10_22_36.wav;0;1
0_listens3-audio-27-05-2014-10_27_36.wav;0;1
0_listens3-audio-27-05-2014-10_42_38.wav;1;1
0_listens3-audio-27-05-2014-10_52_39.wav;1;1
0_listens3-audio-27-05-2014-13_19_01.wav;0;1
0_listens3-audio-27-05-2014-13_24_01.wav;0;1
0_listens3-audio-27-05-2014-13_39_03.wav;1;1
0_listens3-audio-27-05-2014-13_44_03.wav;0;1
0_listens3-audio-27-05-2014-19_57_55.wav;0;1
0_listens3-audio-27-05-2014-20_07_56.wav;0;1
0_listens3-audio-27-05-2014-20_22_58.wav;0;1
0_listens3-audio-27-05-2014-20_32_59.wav;1;1
0_listens3-audio-27-05-2014-20_48_00.wav;1;1
0_listens3-audio-27-05-2014-20_53_01.wav;1;1
0_listens3-audio-28-05-2014-02_47_36.wav;0;1
0_listens3-audio-28-05-2014-02_52_37.wav;0;1
0_listens3-audio-28-05-2014-03_12_40.wav;0;1
0_listens3-audio-28-05-2014-03_17_40.wav;0;1
0_listens3-audio-28-05-2014-03_27_41.wav;0;1
0_listens3-audio-28-05-2014-03_32_42.wav;0;1
0_listens3-audio-29-05-2014-18_15_41.wav;1;1
0_listens3-audio-29-05-2014-18_20_42.wav;1;1
0_listens3-audio-29-05-2014-18_30_43.wav;0;1
0_listens3-audio-29-05-2014-18_35_44.wav;0;1
0_listens3-audio-29-05-2014-18_40_44.wav;1;1
0_listens3-audio-29-05-2014-18_45_45.wav;1;1
0_listens3-audio-29-05-2014-19_05_47.wav;1;1
0_listens3-audio-30-05-2014-03_53_29.wav;0;1
0_listens3-audio-30-05-2014-03_58_31.wav;0;1
0_listens3-audio-30-05-2014-04_08_32.wav;0;1
0_listens3-audio-30-05-2014-04_13_32.wav;0;1
