speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12, filename
0,6.47260492166,5.70206849518,5.7369543662,5.72990638243,6.05864006936,6.50812728744,6.66554624871,6.79385378196,7.29834517576,7.87846283559,8.43633986374,9.36053530001,9.97465629057,0_ch01.wav
0,6.48635040725,5.58688196076,5.73580715896,5.79628307662,6.10295771061,6.78053165854,6.74062809968,6.92875247311,7.4783859629,8.01815955351,8.90526127993,9.58691446077,10.2013947679,0_ch02.wav
0,6.48175461573,5.43278655268,5.66755580076,5.6847965189,6.32134064054,6.97254157915,6.81824217069,7.11417715804,7.5854785482,8.26639544164,8.73914239036,9.35411450516,10.1322246231,0_ch03.wav
0,6.50322639817,5.67179647495,5.74775137763,5.49414382428,6.20514256233,6.68303824045,6.42891837159,6.87020160423,7.28471809425,7.87360160172,8.53478624167,9.39352438966,10.0413389842,0_ch04.wav
0,6.78547671841,5.80170735171,5.97552919431,5.93172013392,6.48786570428,7.06921266339,7.11209767441,7.38735897482,7.83190562366,8.11950491826,9.17561255147,9.94887591981,10.447880349,0_ch05.wav
0,6.152475172,5.36176635688,5.4265572298,5.42779593883,6.10831527308,6.80933874074,6.72591422535,7.0259991786,7.42822121988,8.02204847703,8.77301494552,9.54947414288,10.1502096466,0_ch06.wav
0,6.50347683769,5.5509671801,5.61660672611,5.52034562214,5.99425915802,6.7690155247,6.61183383826,7.06005593829,7.55205463806,7.95647211745,8.64508112088,9.33315239805,9.98709956458,0_ch07.wav
0,6.3557513735,5.51379514126,5.54395338391,5.5233110231,6.03813691777,6.85887060738,6.66276976318,6.96873611347,7.49834901508,7.932140628,8.45858321399,9.20788707179,9.93103822895,0_ch08.wav
0,6.87601449156,6.09712780531,6.1789364139,6.04980676927,6.67016947156,7.26702637752,7.15991993392,7.42035845393,7.88348981992,8.19546541416,9.09128737885,9.97335325298,10.5608145518,0_ch09.wav
0,5.9215531032,5.08784279794,5.18566731778,5.09491422485,5.84839137356,6.45007144591,6.48790322881,6.7310540261,7.02711444619,7.59809403015,8.30406664634,9.18029706421,9.76221364572,0_ch10.wav
0,4.52267402625,4.06991515031,3.29503601576,2.97634348336,3.08533030517,3.00160724053,3.25894712803,3.48987415705,3.14501120298,2.93185114442,2.86361248442,3.15066785759,3.35171894527,0_dch01.wav
0,4.34961128075,4.31756210443,3.55575108447,3.10761298464,3.02517330301,3.19162410406,3.20355756556,3.19482171659,2.95595551138,3.28719174673,3.20418943833,3.54716606416,3.71524910139,0_dch02.wav
0,4.40403514255,4.21716484986,3.65922776524,3.12056206208,2.99848920586,3.34529013415,3.14453051736,3.03419310134,2.7943199569,3.67889355233,3.72304086741,3.59598176979,3.70581758191,0_dch03.wav
0,4.33638258071,3.97707932844,3.42189441727,2.93842906727,2.72640004135,3.15096593668,4.00934179871,4.26512945255,3.55333623752,3.75686993152,3.85244979123,3.62102257293,3.40208092178,0_dch04.wav
0,4.8155878935,4.50412295732,3.89398839906,3.53510837198,3.73044914277,3.51969911134,3.68560318191,3.64802682549,3.94274317927,4.40710323333,3.96914985832,3.58070025561,3.41993100867,0_dch05.wav
0,4.24157657672,4.06093120931,3.47387241556,3.03009621643,3.07958317881,3.1924198991,2.80136570949,2.65635927669,3.80630686831,4.38853860545,3.81438511202,3.95156580303,3.65611725567,0_dch06.wav
0,4.1350821164,4.02667708629,3.60723322305,2.97028300394,2.8842291885,3.09262709008,3.19337395299,3.42296248867,3.81548031114,3.97456185179,3.85489938001,3.97423685106,3.67197806942,0_dch07.wav
