,6.780826,5.136758,5.068059,4.929079,5.293575,5.299691,5.098683,5.172635,5.235544,5.468045,5.648404,5.757909,5.320269
no,6.824484,5.692131,5.857987,5.695329,5.737075,5.930187,5.739965,5.822901,5.829067,5.974242,6.162963,6.173914,6.18671
no,4.622908,3.879494,4.007683,3.961905,4.260129,4.482458,4.318506,4.394099,4.400292,4.495024,4.741623,5.074455,4.90781
no,6.739231,5.657482,5.9055,5.882869,6.152627,6.325277,6.170613,6.385949,6.436474,6.378838,6.523055,6.568929,6.500794
no,4.705245,3.873731,4.231261,4.141964,4.475483,4.677526,4.526012,4.656851,4.72665,4.948976,5.366266,5.741303,5.461405
no,5.251594,4.615582,5.292378,5.308526,5.524403,5.852736,5.818623,5.912646,6.120575,6.29495,6.321324,6.365554,5.784652
no,6.220155,4.916413,5.31077,5.166369,5.222019,5.508949,5.306849,5.485106,5.624527,5.859448,6.058368,6.284023,6.237215
no,5.833441,4.475414,4.540933,4.412825,4.53736,4.704943,4.433576,4.527907,4.616333,4.765517,4.95295,5.218695,5.128374
no,5.557334,5.255191,5.631554,5.893315,6.239179,6.250057,5.910138,5.915107,5.92466,6.224122,6.38381,6.690171,6.534386
no,6.974788,5.497517,5.517726,5.552572,5.799347,5.75685,5.524104,5.801172,6.11817,6.326445,6.567632,6.754961,6.284194
no,6.389261,4.736145,5.208414,4.719924,4.980417,5.040722,4.957727,5.474635,5.663024,5.73447,5.489224,5.549259,5.119325
no,6.039701,4.686376,5.030316,4.895399,4.9764,5.261877,5.177133,5.353063,5.555434,5.723935,5.907789,6.083281,6.094773
no,5.873423,4.654233,4.680911,4.542571,4.747523,4.965903,4.820557,4.922335,5.138333,5.221795,5.252456,5.352385,5.252161
no,6.997606,5.674799,5.646023,5.705688,6.11621,6.184382,6.009409,6.371609,6.771619,6.872248,6.949233,6.918027,6.523824
no,5.597994,4.861385,5.33684,5.502266,6.096362,6.349256,6.308791,6.435362,6.527495,6.715413,6.798644,6.790695,6.366685
no,6.423585,5.004998,5.313353,4.892415,5.138557,5.263735,5.277793,5.755116,5.96772,6.076828,5.793217,5.791417,5.308918
no,6.013171,5.507267,5.802043,5.831831,6.195832,6.455999,6.423576,6.689961,7.235863,7.518984,7.446601,7.314398,6.733211
no,6.852612,5.593633,6.047889,6.010641,6.525043,6.907049,7.443417,7.343688,7.705337,7.744933,7.487321,7.114833,6.891973
no,4.973722,4.360885,5.212466,5.473713,5.64366,6.005394,6.134245,6.274021,6.251853,6.246598,6.177278,6.156205,5.667912
no,6.001456,4.804105,5.141327,5.006866,5.146313,5.456739,5.460452,5.781361,5.953247,6.05169,6.063456,6.197891,6.256482
no,4.588753,3.801914,4.186096,4.113763,4.426398,4.769734,4.644553,4.751055,4.905731,5.110952,5.383087,5.636892,5.457415
no,5.374155,4.846955,5.259934,5.359068,5.729698,5.858051,5.648321,5.555026,5.435568,5.622498,5.809066,6.033608,5.796065
no,5.287447,4.479327,5.108428,5.195559,5.604984,5.797073,5.623286,5.674317,5.75011,5.931222,6.090829,6.104463,5.888302
no,6.78317,5.757089,6.257123,6.155764,6.604836,6.862059,7.00888,7.089656,7.428066,7.280233,7.161493,6.904195,6.758994
no,4.812297,4.51169,5.176131,5.101303,5.002755,4.913337,4.651508,4.789715,5.000572,5.315975,5.540358,5.979998,5.596741
no,5.890738,4.593273,4.861139,4.602562,4.561461,4.689659,4.521815,4.648965,5.036355,5.285668,5.532221,5.818931,5.762139
no,5.782377,4.491572,4.689361,4.493655,4.573402,4.624668,4.31399,4.317329,4.451445,4.540406,4.668093,4.979942,4.892875
no,6.833194,5.352393,5.234382,5.123955,5.428725,5.450113,5.054004,5.287509,5.642785,6.012915,6.156714,6.201063,5.763198
no,6.136394,5.602048,6.029823,5.928026,5.968931,6.157831,5.969159,6.071475,6.651475,6.953266,6.9712,7.000297,6.445488
no,4.871127,4.208487,4.551403,4.624676,5.150052,5.377889,5.074334,4.95254,4.804965,5.209876,5.390618,5.550328,5.331378
no,4.635041,4.295007,5.090016,5.199643,5.270746,5.217998,4.784799,4.761921,4.612326,4.910756,5.263555,5.480992,5.233417
no,6.326778,5.774205,6.176283,6.190433,6.60292,6.888908,6.645917,6.723216,6.734775,7.020975,6.932345,6.676275,6.399357
no,5.547047,4.233732,4.250908,4.074335,4.118593,4.111578,3.905276,3.997168,3.892013,3.895494,4.121416,4.390061,4.429115
no,4.896646,3.851429,4.147465,4.047672,4.215003,4.453478,4.296373,4.452561,4.540751,4.566607,4.766784,5.06029,5.149562
